Cumulative sequencing depth,Fraction of target bases(%)
1180,0.093346
1181,0.093346
1182,0.092961
1183,0.092639
1184,0.092318
1185,0.091997
1186,0.091740
1187,0.091290
1188,0.091033
1189,0.090776
1190,0.090519
1191,0.090262
1192,0.090070
1193,0.089620
1194,0.089427
1195,0.089234
1196,0.089106
1197,0.088849
1198,0.088528
1199,0.088271
1200,0.087885
1201,0.087628
1202,0.087307
1203,0.087243
1204,0.087050
1205,0.086793
1206,0.086536
1207,0.086279
1208,0.086215
1209,0.086086
1210,0.085958
1211,0.085572
1212,0.085380
1213,0.085316
1214,0.085251
1215,0.085059
1216,0.084994
1217,0.084930
1218,0.084866
1219,0.084802
1220,0.084737
1221,0.084609
1222,0.084545
1223,0.084416
1224,0.084352
1225,0.084288
1226,0.084095
1227,0.083774
1228,0.083645
1229,0.083388
1230,0.083388
1231,0.083388
1232,0.083324
1233,0.083195
1234,0.083195
1235,0.083195
1236,0.083003
1237,0.082874
1238,0.082810
1239,0.082617
1240,0.082489
1241,0.082360
1242,0.082039
1243,0.081975
1244,0.081782
1245,0.081397
1246,0.081332
1247,0.081075
1248,0.081011
1249,0.081011
1250,0.080883
1251,0.080818
1252,0.080626
1253,0.080497
1254,0.080240
1255,0.079983
1256,0.079919
1257,0.079855
1258,0.079662
1259,0.079469
1260,0.079405
1261,0.079277
1262,0.079084
1263,0.079020
1264,0.078763
1265,0.078698
1266,0.078570
1267,0.078313
1268,0.078184
1269,0.077992
1270,0.077863
1271,0.077735
1272,0.077671
1273,0.077542
1274,0.077542
1275,0.077478
1276,0.077349
1277,0.077285
1278,0.077092
1279,0.077092
1280,0.077092
1281,0.076964
1282,0.076771
1283,0.076707
1284,0.076643
1285,0.076450
1286,0.076450
1287,0.076257
1288,0.076129
1289,0.075936
1290,0.075807
1291,0.075743
1292,0.075486
1293,0.075486
1294,0.075422
1295,0.075294
1296,0.075101
1297,0.075037
1298,0.074972
1299,0.074844
1300,0.074844
1301,0.074651
1302,0.074523
1303,0.074458
1304,0.074394
1305,0.074330
1306,0.074266
1307,0.074137
1308,0.074009
1309,0.073816
1310,0.073623
1311,0.073495
1312,0.073366
1313,0.073302
1314,0.073302
1315,0.073302
1316,0.073302
1317,0.072981
1318,0.072852
1319,0.072724
1320,0.072595
1321,0.072403
1322,0.072338
1323,0.072146
1324,0.072081
1325,0.072081
1326,0.071953
1327,0.071824
1328,0.071696
1329,0.071567
1330,0.071375
1331,0.071182
1332,0.070861
1333,0.070796
1334,0.070604
1335,0.070475
1336,0.070411
1337,0.070154
1338,0.069833
1339,0.069769
1340,0.069640
1341,0.069447
1342,0.069255
1343,0.069190
1344,0.069062
1345,0.068933
1346,0.068869
1347,0.068612
1348,0.068484
1349,0.068419
1350,0.068419
1351,0.068355
1352,0.068227
1353,0.067970
1354,0.067841
1355,0.067841
1356,0.067649
1357,0.067392
1358,0.067327
1359,0.067199
1360,0.067070
1361,0.067006
1362,0.067006
