Sequencing depth,Fraction of target bases(%),Number of target bases
974,0.013106,204
975,0.013555,211
976,0.012656,197
977,0.013684,213
978,0.011949,186
979,0.010536,164
980,0.013170,205
981,0.014005,218
982,0.013748,214
983,0.012592,196
984,0.013298,207
985,0.014519,226
986,0.013941,217
987,0.010472,163
988,0.012206,190
989,0.012977,202
990,0.013363,208
991,0.012142,189
992,0.014005,218
993,0.011564,180
994,0.011885,185
995,0.012913,201
996,0.013941,217
997,0.014005,218
998,0.012656,197
999,0.013106,204
1000,0.012271,191
1001,0.014455,225
1002,0.011500,179
1003,0.013941,217
1004,0.013748,214
1005,0.014326,223
1006,0.014455,225
1007,0.015033,234
1008,0.013363,208
1009,0.012849,200
1010,0.013684,213
1011,0.014134,220
1012,0.013491,210
1013,0.014069,219
1014,0.013041,203
1015,0.014069,219
1016,0.014262,222
1017,0.014519,226
1018,0.015483,241
1019,0.013877,216
1020,0.014648,228
1021,0.013877,216
1022,0.014776,230
1023,0.014648,228
1024,0.014776,230
1025,0.012592,196
1026,0.014905,232
1027,0.014969,233
1028,0.014262,222
1029,0.013491,210
1030,0.013427,209
1031,0.013555,211
1032,0.015161,236
1033,0.014840,231
1034,0.012528,195
1035,0.013491,210
1036,0.013555,211
1037,0.014648,228
1038,0.014455,225
1039,0.014326,223
1040,0.016125,251
1041,0.012335,192
1042,0.015418,240
1043,0.012720,198
1044,0.012656,197
1045,0.013812,215
1046,0.013427,209
1047,0.013041,203
1048,0.014776,230
1049,0.014905,232
1050,0.014069,219
1051,0.015097,235
1052,0.014134,220
1053,0.014326,223
1054,0.013877,216
1055,0.014326,223
1056,0.014198,221
1057,0.015547,242
1058,0.014776,230
1059,0.015226,237
1060,0.015033,234
1061,0.016768,261
1062,0.014326,223
1063,0.013106,204
1064,0.013748,214
1065,0.014326,223
1066,0.016832,262
1067,0.013941,217
1068,0.016125,251
1069,0.014840,231
1070,0.014969,233
1071,0.013170,205
1072,0.016061,250
1073,0.014840,231
1074,0.015675,244
1075,0.014583,227
1076,0.015611,243
1077,0.014776,230
1078,0.015354,239
1079,0.017089,266
1080,0.014776,230
1081,0.014648,228
1082,0.015226,237
1083,0.015290,238
1084,0.016446,256
1085,0.015804,246
1086,0.015483,241
1087,0.015354,239
1088,0.016189,252
1089,0.014005,218
1090,0.015483,241
1091,0.016125,251
1092,0.017667,275
1093,0.017667,275
1094,0.015290,238
1095,0.017282,269
1096,0.016768,261
1097,0.016318,254
1098,0.014391,224
1099,0.016639,259
1100,0.017282,269
1101,0.016318,254
1102,0.016511,257
1103,0.017346,270
1104,0.016575,258
1105,0.014969,233
1106,0.016575,258
1107,0.015483,241
1108,0.016254,253
1109,0.016575,258
1110,0.017346,270
1111,0.017089,266
1112,0.016061,250
1113,0.017153,267
1114,0.016703,260
1115,0.017089,266
1116,0.016768,261
1117,0.016382,255
1118,0.018566,289
1119,0.017603,274
1120,0.016703,260
1121,0.017731,276
1122,0.016125,251
1123,0.017603,274
1124,0.014069,219
1125,0.016318,254
1126,0.014840,231
1127,0.017539,273
1128,0.016318,254
1129,0.017795,277
1130,0.015611,243
1131,0.016382,255
1132,0.017667,275
1133,0.016318,254
1134,0.018566,289
1135,0.016125,251
1136,0.018631,290
1137,0.020044,312
1138,0.016703,260
1139,0.018631,290
1140,0.017025,265
1141,0.017153,267
1142,0.017667,275
1143,0.017282,269
1144,0.018566,289
1145,0.016768,261
1146,0.017988,280
1147,0.018566,289
1148,0.018438,287
1149,0.019337,301
1150,0.017988,280
1151,0.016575,258
1152,0.018823,293
1153,0.019659,306
1154,0.017860,278
1155,0.017860,278
1156,0.019145,298
1157,0.018181,283
1158,0.018052,281
1159,0.018952,295
1160,0.019402,302
1161,0.018888,294
1162,0.020494,319
1163,0.019466,303
1164,0.019530,304
1165,0.018181,283
1166,0.018502,288
1167,0.019659,306
1168,0.018631,290
1169,0.019466,303
1170,0.018374,286
1171,0.017089,266
1172,0.018245,284
1173,0.020044,312
1174,0.021136,329
1175,0.017410,271
1176,0.018502,288
1177,0.020622,321
1178,0.020686,322
1179,0.017924,279
1180,0.020365,317
1181,0.019466,303
1182,0.019787,308
1183,0.020815,324
1184,0.021072,328
1185,0.019402,302
1186,0.019016,296
1187,0.021008,327
1188,0.019145,298
1189,0.020815,324
1190,0.019916,310
1191,0.020494,319
1192,0.018502,288
1193,0.021265,331
1194,0.021329,332
1195,0.020494,319
1196,0.020429,318
1197,0.021457,334
1198,0.020943,326
1199,0.022036,343
1200,0.021779,339
1201,0.019530,304
1202,0.019016,296
1203,0.020943,326
1204,0.021586,336
