Cumulative sequencing depth,Fraction of target bases(%)
1603,80.231659
1604,80.195236
1605,80.158684
1606,80.122444
1607,80.085701
1608,80.048378
1609,80.013687
1610,79.977776
1611,79.938263
1612,79.900291
1613,79.865219
1614,79.829628
1615,79.791916
1616,79.755875
1617,79.715851
1618,79.678909
1619,79.641907
1620,79.607666
1621,79.567703
1622,79.531982
1623,79.497299
1624,79.462471
1625,79.425278
1626,79.389297
1627,79.350243
1628,79.310730
1629,79.271736
1630,79.236336
1631,79.198944
1632,79.162132
1633,79.125710
1634,79.088249
1635,79.051765
1636,79.012962
1637,78.974800
1638,78.936256
1639,78.896164
1640,78.855499
1641,78.817337
1642,78.778793
1643,78.741020
1644,78.703949
1645,78.665016
1646,78.625702
1647,78.588371
1648,78.548737
1649,78.511345
1650,78.475174
1651,78.440231
1652,78.403221
1653,78.365128
1654,78.327805
1655,78.289062
1656,78.247757
1657,78.208313
1658,78.168991
1659,78.129036
1660,78.088303
1661,78.050140
1662,78.011086
1663,77.969772
1664,77.931610
1665,77.891586
1666,77.855232
1667,77.815208
1668,77.774467
1669,77.736053
1670,77.698792
1671,77.661278
1672,77.620605
1673,77.585472
1674,77.545319
1675,77.506767
1676,77.469185
1677,77.428261
1678,77.387917
1679,77.347961
1680,77.310699
1681,77.270355
1682,77.230652
1683,77.192238
1684,77.154457
1685,77.114502
1686,77.074989
1687,77.037148
1688,76.998413
1689,76.961662
1690,76.921318
1691,76.883675
1692,76.846985
1693,76.807930
1694,76.767715
1695,76.728203
1696,76.689400
1697,76.652138
1698,76.612373
1699,76.572990
1700,76.533928
1701,76.494095
1702,76.457283
1703,76.416939
1704,76.376534
1705,76.338501
1706,76.303169
1707,76.264038
1708,76.225304
1709,76.185600
1710,76.147690
1711,76.106834
1712,76.067390
1713,76.027176
1714,75.986382
1715,75.946609
1716,75.906334
1717,75.868942
1718,75.830139
1719,75.792557
1720,75.754204
1721,75.714890
1722,75.674095
1723,75.633423
1724,75.593529
1725,75.555374
1726,75.515732
1727,75.474869
1728,75.435432
1729,75.396042
1730,75.354027
1731,75.316002
1732,75.278160
1733,75.239929
1734,75.200745
1735,75.161171
1736,75.123077
1737,75.084267
1738,75.042770
1739,75.005058
1740,74.966255
1741,74.925079
1742,74.886719
1743,74.848053
1744,74.808983
1745,74.769669
1746,74.727844
1747,74.684998
1748,74.644974
1749,74.605400
1750,74.564346
1751,74.522850
1752,74.483658
1753,74.442093
1754,74.402580
1755,74.362236
1756,74.323944
1757,74.285599
1758,74.244995
1759,74.206123
1760,74.165977
1761,74.122093
1762,74.084641
1763,74.046867
1764,74.006332
1765,73.969582
1766,73.930649
1767,73.887993
1768,73.849571
1769,73.811028
1770,73.770485
1771,73.728737
1772,73.688004
1773,73.648170
1774,73.606857
1775,73.566902
1776,73.524307
1777,73.480690
1778,73.437065
1779,73.396339
1780,73.354324
1781,73.312500
1782,73.268616
1783,73.229813
1784,73.186455
1785,73.145271
1786,73.103386
1787,73.062721
1788,73.021538
1789,72.980423
1790,72.938469
1791,72.898193
1792,72.858170
1793,72.817497
1794,72.776451
1795,72.734947
1796,72.690109
1797,72.649246
1798,72.608902
1799,72.568108
1800,72.527954
1801,72.489471
1802,72.450867
1803,72.407433
1804,72.365288
1805,72.322311
1806,72.282349
1807,72.240723
1808,72.200439
1809,72.161316
1810,72.119621
1811,72.077797
1812,72.038033
1813,71.994347
1814,71.951561
1815,71.908516
1816,71.867081
1817,71.825317
1818,71.784592
1819,71.744499
1820,71.706024
1821,71.668312
1822,71.625847
1823,71.586403
1824,71.544128
1825,71.502304
1826,71.458809
1827,71.417183
1828,71.373817
1829,71.333221
1830,71.294151
1831,71.253876
1832,71.212433
1833,71.170166
1834,71.127251
1835,71.085808
1836,71.043480
1837,71.000244
1838,70.958801
1839,70.918526
1840,70.879723
1841,70.837959
1842,70.795235
1843,70.752457
1844,70.712296
1845,70.669128
1846,70.627304
1847,70.583305
1848,70.542564
1849,70.499596
1850,70.457314
1851,70.417809
1852,70.376884
1853,70.334938
1854,70.290985
1855,70.248207
1856,70.207855
1857,70.166870
1858,70.123123
